,line,__fileposition__
1482,"2005,""Goonies, The (1985)"",Action|Adventure|Children|Comedy|Fantasy",70750
1483,"2006,""Mask of Zorro, The (1998)"",Action|Comedy|Romance",70819
1484,"2007,Polish Wedding (1998),Comedy",70875
1485,"2008,""This World, Then the Fireworks (1997)"",Crime|Drama|Film-Noir",70910
1486,"2009,Soylent Green (1973),Drama|Mystery|Sci-Fi|Thriller",70978
1487,"2010,Metropolis (1927),Drama|Sci-Fi",71035
1488,"2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi",71072
1489,"2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western",71136
1490,"2013,""Poseidon Adventure, The (1972)"",Action|Adventure|Drama",71209
1491,"2014,Freaky Friday (1977),Children|Comedy|Fantasy",71271
1492,"2015,""Absent-Minded Professor, The (1961)"",Children|Comedy|Fantasy",71322
1493,"2016,""Apple Dumpling Gang Rides Again, The (1979)"",Children|Comedy|Western",71390
1494,"2017,Babes in Toyland (1961),Children|Fantasy|Musical",71466
1495,"2018,Bambi (1942),Animation|Children|Drama",71521
1496,"2019,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama",71565
1497,"2020,Dangerous Liaisons (1988),Drama|Romance",71638
1498,"2021,Dune (1984),Adventure|Sci-Fi",71684
1499,"2022,""Last Temptation of Christ, The (1988)"",Drama",71719
1500,"2023,""Godfather: Part III, The (1990)"",Crime|Drama|Mystery|Thriller",71771
1501,"2024,""Rapture, The (1991)"",Drama|Mystery",71840
1502,"2025,Lolita (1997),Drama|Romance",71882
1503,"2026,Disturbing Behavior (1998),Horror|Thriller",71916
1504,"2027,Jane Austen's Mafia! (1998),Comedy|Crime",71965
1505,"2028,Saving Private Ryan (1998),Action|Drama|War",72012
1506,"2032,""Barefoot Executive, The (1971)"",Children|Comedy",72062
1507,"2033,""Black Cauldron, The (1985)"",Adventure|Animation|Children|Fantasy",72117
1508,"2034,""Black Hole, The (1979)"",Children|Sci-Fi",72189
1509,"2035,Blackbeard's Ghost (1968),Children|Comedy",72236
1510,"2036,Blank Check (1994),Children|Comedy",72284
1511,"2037,Candleshoe (1977),Adventure|Children|Comedy",72325
1512,"2038,""Cat from Outer Space, The (1978)"",Children|Comedy|Sci-Fi",72375
1513,"2040,""Computer Wore Tennis Shoes, The (1969)"",Children|Comedy",72439
1514,"2041,Condorman (1981),Action|Adventure|Children|Comedy",72502
1515,"2042,D2: The Mighty Ducks (1994),Children|Comedy",72558
1516,"2043,Darby O'Gill and the Little People (1959),Adventure|Children|Fantasy",72608
1517,"2044,""Devil and Max Devlin, The (1981)"",Comedy|Fantasy",72683
1518,"2046,Flight of the Navigator (1986),Adventure|Children|Sci-Fi",72739
1519,"2048,""Great Mouse Detective, The (1986)"",Action|Animation|Children|Crime",72802
1520,"2050,Herbie Goes Bananas (1980),Adventure|Children|Comedy",72876
1521,"2051,Herbie Goes to Monte Carlo (1977),Adventure|Children|Comedy",72935
1522,"2052,Hocus Pocus (1993),Children|Comedy|Fantasy|Horror",73001
1523,"2053,""Honey, I Blew Up the Kid (1992)"",Children|Comedy|Sci-Fi",73057
1524,"2054,""Honey, I Shrunk the Kids (1989)"",Adventure|Children|Comedy|Fantasy|Sci-Fi",73120
1525,"2055,Hot Lead and Cold Feet (1978),Action|Comedy|Western",73201
1526,"2056,In Search of the Castaways (1962),Adventure|Children",73259
1527,"2057,""Incredible Journey, The (1963)"",Adventure|Children",73318
1528,"2058,""Negotiator, The (1998)"",Action|Crime|Drama|Mystery|Thriller",73376
1529,"2059,""Parent Trap, The (1998)"",Children|Comedy|Romance",73443
1530,"2060,BASEketball (1998),Comedy",73499
1531,"2064,Roger & Me (1989),Documentary",73531
1532,"2065,""Purple Rose of Cairo, The (1985)"",Comedy|Drama|Fantasy|Romance",73567
1533,"2066,Out of the Past (1947),Film-Noir",73637
1534,"2067,Doctor Zhivago (1965),Drama|Romance|War",73676
1535,"2068,Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery",73722
1536,"2069,""Trip to Bountiful, The (1985)"",Drama",73799
1537,"2070,Tender Mercies (1983),Drama|Romance|Western",73843
1538,"2071,And the Band Played On (1993),Drama",73893
1539,"2072,""'burbs, The (1989)"",Comedy",73935
1540,"2073,Fandango (1985),Comedy",73969
1541,"2074,""Night Porter, The (Portiere di notte, Il) (1974)"",Crime|Drama|Romance",73998
1542,"2075,Mephisto (1981),Drama|War",74075
1543,"2076,Blue Velvet (1986),Drama|Mystery|Thriller",74107
1544,"2077,""Journey of Natty Gann, The (1985)"",Adventure|Children",74155
1545,"2078,""Jungle Book, The (1967)"",Animation|Children|Comedy|Musical",74216
1546,"2080,Lady and the Tramp (1955),Animation|Children|Comedy|Romance",74282
1547,"2081,""Little Mermaid, The (1989)"",Animation|Children|Comedy|Musical|Romance",74348
1548,"2082,""Mighty Ducks, The (1992)"",Children|Comedy",74425
1549,"2083,""Muppet Christmas Carol, The (1992)"",Children|Comedy|Musical",74474
1550,"2084,Newsies (1992),Children|Musical",74541
1551,"2085,101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children",74579
1552,"2087,Peter Pan (1953),Animation|Children|Fantasy|Musical",74669
1553,"2088,Popeye (1980),Adventure|Comedy|Musical",74727
1554,"2089,""Rescuers Down Under, The (1990)"",Adventure|Animation|Children",74772
1555,"2090,""Rescuers, The (1977)"",Adventure|Animation|Children|Crime|Drama",74841
1556,"2091,Return from Witch Mountain (1978),Children|Sci-Fi",74911
1557,"2092,""Return of Jafar, The (1994)"",Adventure|Animation|Children|Fantasy|Musical|Romance",74967
1558,"2093,Return to Oz (1985),Adventure|Children|Fantasy",75056
1559,"2094,""Rocketeer, The (1991)"",Action|Adventure|Sci-Fi",75109
1560,"2095,""Shaggy D.A., The (1976)"",Children|Comedy",75163
1561,"2096,Sleeping Beauty (1959),Animation|Children|Musical",75211
1562,"2097,Something Wicked This Way Comes (1983),Children|Drama|Fantasy|Mystery|Thriller",75267
1563,"2098,Son of Flubber (1963),Children|Comedy",75352
1564,"2099,Song of the South (1946),Adventure|Animation|Children|Musical",75396
1565,"2100,Splash (1984),Comedy|Fantasy|Romance",75464
1566,"2102,Steamboat Willie (1928),Animation|Children|Comedy|Musical",75507
1567,"2103,Tall Tale (1995),Adventure|Children|Fantasy|Western",75571
1568,"2104,Tex (1982),Drama",75629
1569,"2105,Tron (1982),Action|Adventure|Sci-Fi",75652
1570,"2106,Swing Kids (1993),Drama|War",75694
1571,"2107,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller",75728
1572,"2108,L.A. Story (1991),Comedy|Romance",75831
1573,"2109,""Jerk, The (1979)"",Comedy",75870
1574,"2110,Dead Men Don't Wear Plaid (1982),Comedy|Crime|Thriller",75902
1575,"2111,""Man with Two Brains, The (1983)"",Comedy",75963
1576,"2112,Grand Canyon (1991),Crime|Drama",76010
1577,"2114,""Outsiders, The (1983)"",Drama",76048
1578,"2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy",76084
1579,"2116,""Lord of the Rings, The (1978)"",Adventure|Animation|Children|Fantasy",76159
1580,"2117,1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi",76234
1581,"2118,""Dead Zone, The (1983)"",Thriller",76288
1582,"2119,Maximum Overdrive (1986),Horror",76327
1583,"2120,Needful Things (1993),Drama|Horror",76365
1584,"2121,Cujo (1983),Horror|Thriller",76406
1585,"2122,Children of the Corn (1984),Horror|Thriller",76440
1586,"2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy",76490
1587,"2124,""Addams Family, The (1991)"",Children|Comedy|Fantasy",76565
1588,"2125,Ever After: A Cinderella Story (1998),Comedy|Drama|Romance",76623
1589,"2126,Snake Eyes (1998),Action|Crime|Mystery|Thriller",76688
1590,"2130,Atlantic City (1980),Crime|Drama|Romance",76742
1591,"2131,Autumn Sonata (Höstsonaten) (1978),Drama",76789
1592,"2132,Who's Afraid of Virginia Woolf? (1966),Drama",76837
1593,"2133,Adventures in Babysitting (1987),Adventure|Comedy",76888
1594,"2134,Weird Science (1985),Comedy|Fantasy|Sci-Fi",76944
1595,"2135,Doctor Dolittle (1967),Adventure|Children|Musical",76993
1596,"2136,""Nutty Professor, The (1963)"",Comedy|Sci-Fi",77049
1597,"2137,Charlotte's Web (1973),Animation|Children",77099
1598,"2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy",77147
1599,"2139,""Secret of NIMH, The (1982)"",Adventure|Animation|Children|Drama",77218
1600,"2140,""Dark Crystal, The (1982)"",Adventure|Fantasy",77288
1601,"2141,""American Tail, An (1986)"",Adventure|Animation|Children|Comedy",77339
1602,"2142,""American Tail: Fievel Goes West, An (1991)"",Adventure|Animation|Children|Musical|Western",77408
1603,"2143,Legend (1985),Adventure|Fantasy|Romance",77504
1604,"2144,Sixteen Candles (1984),Comedy|Romance",77550
1605,"2145,Pretty in Pink (1986),Comedy|Drama|Romance",77594
1606,"2146,St. Elmo's Fire (1985),Drama|Romance",77643
1607,"2147,""Clan of the Cave Bear, The (1986)"",Adventure|Drama|Fantasy",77686
1608,"2148,House (1986),Comedy|Fantasy|Horror",77752
1609,"2149,House II: The Second Story (1987),Comedy|Fantasy|Horror",77793
1610,"2150,""Gods Must Be Crazy, The (1980)"",Adventure|Comedy",77855
1611,"2151,""Gods Must Be Crazy II, The (1989)"",Comedy",77911
1612,"2152,Air Bud: Golden Receiver (1998),Children|Comedy",77960
1613,"2153,""Avengers, The (1998)"",Action|Adventure",78014
1614,"2154,How Stella Got Her Groove Back (1998),Drama|Romance",78060
1615,"2155,""Slums of Beverly Hills, The (1998)"",Comedy|Drama",78118
1616,"2156,""Best Man, The (Testimone dello sposo, Il) (1998)"",Comedy|Drama|Romance",78174
1617,"2159,Henry: Portrait of a Serial Killer (1986),Crime|Horror|Thriller",78252
1618,"2160,Rosemary's Baby (1968),Drama|Horror|Thriller",78322
1619,"2161,""NeverEnding Story, The (1984)"",Adventure|Children|Fantasy",78373
1620,"2162,""NeverEnding Story II: The Next Chapter, The (1990)"",Adventure|Children|Fantasy",78438
1621,"2163,Attack of the Killer Tomatoes! (1978),Comedy|Horror",78524
1622,"2164,Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror",78582
1623,"2165,Your Friends and Neighbors (1998),Comedy|Drama",78642
1624,"2166,Return to Paradise (1998),Crime|Drama|Romance|Thriller",78695
1625,"2167,Blade (1998),Action|Horror|Thriller",78756
1626,"2169,Dead Man on Campus (1998),Comedy",78798
1627,"2170,Wrongfully Accused (1998),Action|Comedy",78837
1628,"2171,Next Stop Wonderland (1998),Comedy|Drama|Romance",78883
1629,"2172,""Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)"",Comedy|Drama",78938
1630,"2174,Beetlejuice (1988),Comedy|Fantasy",79014
1631,"2175,Déjà Vu (1997),Drama|Romance",79054
1632,"2176,Rope (1948),Crime|Drama|Thriller",79091
1633,"2177,Family Plot (1976),Comedy|Thriller",79130
1634,"2178,Frenzy (1972),Thriller",79171
1635,"2179,Topaz (1969),Thriller",79200
1636,"2180,Torn Curtain (1966),Thriller",79228
1637,"2181,Marnie (1964),Drama|Mystery|Romance|Thriller",79263
1638,"2182,""Wrong Man, The (1956)"",Drama|Film-Noir|Thriller",79314
1639,"2183,""Man Who Knew Too Much, The (1956)"",Adventure|Drama|Mystery|Thriller",79369
1640,"2184,""Trouble with Harry, The (1955)"",Comedy|Mystery",79444
1641,"2185,I Confess (1953),Thriller",79498
1642,"2186,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller",79530
1643,"2187,Stage Fright (1950),Mystery|Romance|Thriller",79595
1644,"2188,54 (1998),Drama",79646
1645,"2190,Why Do Fools Fall In Love? (1998),Drama",79668
1646,"2193,Willow (1988),Action|Adventure|Fantasy",79714
1647,"2194,""Untouchables, The (1987)"",Action|Crime|Drama",79759
1648,"2195,Dirty Work (1998),Comedy",79811
1649,"2196,Knock Off (1998),Action",79842
1650,"2201,""Paradine Case, The (1947)"",Drama",79872
1651,"2202,Lifeboat (1944),Drama|War",79912
1652,"2203,Shadow of a Doubt (1943),Crime|Drama|Thriller",79944
1653,"2204,Saboteur (1942),Mystery|Thriller",79996
1654,"2205,Mr. & Mrs. Smith (1941),Comedy|Romance",80035
1655,"2206,Suspicion (1941),Film-Noir|Mystery|Thriller",80080
1656,"2207,Jamaica Inn (1939),Drama",80130
1657,"2208,""Lady Vanishes, The (1938)"",Drama|Mystery|Thriller",80161
1658,"2210,Sabotage (1936),Thriller",80218
1659,"2211,Secret Agent (1936),Thriller",80249
1660,"2212,""Man Who Knew Too Much, The (1934)"",Drama|Thriller",80284
1661,"2226,""Ring, The (1927)"",Drama",80341
1662,"2227,""Lodger: A Story of the London Fog, The (1927)"",Crime|Drama|Thriller",80372
1663,"2231,Rounders (1998),Drama",80447
1664,"2232,Cube (1997),Horror|Mystery|Sci-Fi|Thriller",80475
1665,"2236,Simon Birch (1998),Drama",80524
1666,"2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama",80555
1667,"2240,My Bodyguard (1980),Drama",80653
1668,"2241,Class (1983),Comedy",80685
1669,"2243,Broadcast News (1987),Comedy|Drama|Romance",80711
1670,"2244,""Allnighter, The (1987)"",Comedy|Romance",80760
1671,"2245,Working Girl (1988),Comedy|Drama|Romance",80806
1672,"2247,Married to the Mob (1988),Comedy",80853
1673,"2248,Say Anything... (1989),Comedy|Drama|Romance",80892
1674,"2249,My Blue Heaven (1990),Comedy",80942
1675,"2252,Hero (1992),Comedy|Drama",80977
1676,"2253,Toys (1992),Comedy|Fantasy",81008
1677,"2255,Young Doctors in Love (1982),Comedy",81041
1678,"2256,Parasite (1982),Horror|Sci-Fi",81083
1679,"2257,No Small Affair (1984),Comedy|Romance",81119
1680,"2259,Blame It on Rio (1984),Comedy|Romance",81163
1681,"2260,Wisdom (1986),Crime|Drama",81207
1682,"2261,One Crazy Summer (1986),Comedy",81239
1683,"2262,About Last Night... (1986),Comedy|Drama|Romance",81276
1684,"2263,""Seventh Sign, The (1988)"",Drama|Fantasy|Thriller",81330
1685,"2264,We're No Angels (1989),Comedy|Crime",81386
1686,"2265,Nothing But Trouble (1991),Adventure|Comedy",81428
1687,"2266,""Butcher's Wife, The (1991)"",Comedy|Romance",81478
1688,"2267,Mortal Thoughts (1991),Mystery|Thriller",81528
1689,"2268,""Few Good Men, A (1992)"",Crime|Drama|Thriller",81574
1690,"2269,Indecent Proposal (1993),Drama|Romance",81626
1691,"2271,Permanent Midnight (1998),Drama",81671
1692,"2272,One True Thing (1998),Drama",81709
1693,"2273,Rush Hour (1998),Action|Comedy|Crime|Thriller",81743
1694,"2275,Six-String Samurai (1998),Action|Adventure|Sci-Fi",81795
1695,"2278,Ronin (1998),Action|Crime|Thriller",81851
1696,"2279,Urban Legend (1998),Horror|Thriller",81892
1697,"2280,Clay Pigeons (1998),Crime",81934
1698,"2281,Monument Ave. (1998),Action|Crime|Drama",81966
1699,"2282,Pecker (1998),Comedy|Drama",82012
1700,"2283,""Sheltering Sky, The (1990)"",Drama",82045
1701,"2286,""Fiendish Plot of Dr. Fu Manchu, The (1980)"",Comedy",82086
1702,"2287,Them! (1954),Horror|Sci-Fi|Thriller",82144
1703,"2288,""Thing, The (1982)"",Action|Horror|Sci-Fi|Thriller",82186
1704,"2289,""Player, The (1992)"",Comedy|Crime|Drama",82242
1705,"2290,Stardust Memories (1980),Comedy|Drama",82288
1706,"2291,Edward Scissorhands (1990),Drama|Fantasy|Romance",82332
1707,"2292,Overnight Delivery (1998),Comedy|Romance",82387
1708,"2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy",82434
1709,"2295,""Impostors, The (1998)"",Comedy",82496
1710,"2296,""Night at the Roxbury, A (1998)"",Comedy",82533
1711,"2297,What Dreams May Come (1998),Adventure|Drama|Fantasy|Romance",82579
1712,"2298,Strangeland (1998),Thriller",82645
1713,"2300,""Producers, The (1968)"",Comedy",82679
1714,"2301,History of the World: Part I (1981),Comedy|Musical",82716
1715,"2302,My Cousin Vinny (1992),Comedy",82773
1716,"2303,Nashville (1975),Drama|Musical",82809
1717,"2304,Love Is the Devil (1998),Drama",82846
1718,"2306,Holy Man (1998),Comedy",82883
1719,"2307,One Tough Cop (1998),Action|Crime",82912
1720,"2310,""Mighty, The (1998)"",Drama",82952
1721,"2311,2010: The Year We Make Contact (1984),Sci-Fi",82985
1722,"2312,Children of a Lesser God (1986),Drama",83036
1723,"2313,""Elephant Man, The (1980)"",Drama",83080
1724,"2314,Beloved (1998),Drama",83119
1725,"2315,Bride of Chucky (Child's Play 4) (1998),Comedy|Horror|Thriller",83146
1726,"2316,Practical Magic (1998),Drama|Fantasy|Mystery|Romance",83215
1727,"2318,Happiness (1998),Comedy|Drama",83274
1728,"2320,Apt Pupil (1998),Drama|Thriller",83310
1729,"2321,Pleasantville (1998),Comedy|Drama|Fantasy",83348
1730,"2322,Soldier (1998),Action|Sci-Fi|War",83396
1731,"2323,""Cruise, The (1998)"",Documentary",83435
1732,"2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War",83474
1733,"2325,Orgazmo (1997),Comedy",83549
1734,"2327,Tales from the Darkside: The Movie (1990),Fantasy|Horror|Thriller",83577
1735,"2328,Vampires (1998),Horror|Western",83649
1736,"2329,American History X (1998),Crime|Drama",83686
1737,"2330,Hands on a Hard Body (1996),Comedy|Documentary",83730
1738,"2331,Living Out Loud (1998),Comedy|Drama|Romance",83783
1739,"2332,Belly (1998),Crime|Drama",83833
1740,"2333,Gods and Monsters (1998),Drama",83864
1741,"2334,""Siege, The (1998)"",Action|Thriller",83901
1742,"2335,""Waterboy, The (1998)"",Comedy",83943
1743,"2336,Elizabeth (1998),Drama",83979
1744,"2337,Velvet Goldmine (1998),Drama",84008
1745,"2338,I Still Know What You Did Last Summer (1998),Horror|Mystery|Thriller",84043
1746,"2339,I'll Be Home For Christmas (1998),Comedy|Romance",84118
1747,"2340,Meet Joe Black (1998),Romance",84173
1748,"2342,Hard Core Logo (1996),Comedy|Drama",84209
1749,"2344,Runaway Train (1985),Action|Adventure|Drama|Thriller",84250
1750,"2346,""Stepford Wives, The (1975)"",Mystery|Sci-Fi|Thriller",84309
1751,"2347,""Pope of Greenwich Village, The (1984)"",Drama",84368
1752,"2348,Sid and Nancy (1986),Drama",84420
1753,"2349,Mona Lisa (1986),Comedy|Thriller",84453
1754,"2350,Heart Condition (1990),Comedy",84492
1755,"2351,""Nights of Cabiria (Notti di Cabiria, Le) (1957)"",Drama",84528
1756,"2352,""Big Chill, The (1983)"",Comedy|Drama",84590
1757,"2353,Enemy of the State (1998),Action|Thriller",84633
1758,"2354,""Rugrats Movie, The (1998)"",Animation|Children|Comedy",84681
1759,"2355,""Bug's Life, A (1998)"",Adventure|Animation|Children|Comedy",84741
1760,"2356,Celebrity (1998),Comedy",84806
1761,"2357,Central Station (Central do Brasil) (1998),Drama",84836
1762,"2358,Savior (1998),Drama|War",84891
1763,"2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy",84921
1764,"2360,""Celebration, The (Festen) (1998)"",Drama",84979
1765,"2361,Pink Flamingos (1972),Comedy",85026
1766,"2362,Glen or Glenda (1953),Drama",85061
1767,"2363,Godzilla (Gojira) (1954),Drama|Horror|Sci-Fi",85095
1768,"2364,""Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"",Action|Horror|Sci-Fi|Thriller",85146
1769,"2365,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi",85273
1770,"2366,King Kong (1933),Action|Adventure|Fantasy|Horror",85347
1771,"2367,King Kong (1976),Adventure|Fantasy|Romance|Sci-Fi|Thriller",85402
1772,"2368,King Kong Lives (1986),Adventure|Sci-Fi",85467
1773,"2369,Desperately Seeking Susan (1985),Comedy|Drama|Romance",85513
1774,"2370,""Emerald Forest, The (1985)"",Action|Adventure|Drama",85573
1775,"2371,Fletch (1985),Comedy|Crime|Mystery",85631
1776,"2372,Fletch Lives (1989),Comedy",85672
1777,"2373,Red Sonja (1985),Action|Adventure|Fantasy",85705
1778,"2374,Gung Ho (1986),Comedy|Drama",85753
1779,"2375,""Money Pit, The (1986)"",Comedy",85787
1780,"2376,""View to a Kill, A (1985)"",Action|Adventure|Thriller",85824
1781,"2377,Lifeforce (1985),Horror|Sci-Fi",85883
1782,"2378,Police Academy (1984),Comedy|Crime",85920
1783,"2379,Police Academy 2: Their First Assignment (1985),Comedy|Crime",85961
1784,"2380,Police Academy 3: Back in Training (1986),Comedy|Crime",86028
1785,"2381,Police Academy 4: Citizens on Patrol (1987),Comedy|Crime",86089
1786,"2382,Police Academy 5: Assignment: Miami Beach (1988),Comedy|Crime",86152
1787,"2383,Police Academy 6: City Under Siege (1989),Comedy|Crime",86220
1788,"2384,Babe: Pig in the City (1998),Adventure|Children|Drama",86281
1789,"2385,Home Fries (1998),Comedy|Romance",86341
1790,"2387,Very Bad Things (1998),Comedy|Crime",86380
1791,"2388,Steam: The Turkish Bath (Hamam) (1997),Drama|Romance",86422
1792,"2389,Psycho (1998),Crime|Horror|Thriller",86481
1793,"2390,Little Voice (1998),Comedy",86523
1794,"2391,""Simple Plan, A (1998)"",Crime|Drama|Thriller",86556
1795,"2392,Jack Frost (1998),Children|Comedy|Drama",86607
1796,"2393,Star Trek: Insurrection (1998),Action|Drama|Romance|Sci-Fi",86653
1797,"2394,""Prince of Egypt, The (1998)"",Animation|Musical",86718
1798,"2395,Rushmore (1998),Comedy|Drama",86772
1799,"2396,Shakespeare in Love (1998),Comedy|Drama|Romance",86807
1800,"2398,Miracle on 34th Street (1947),Comedy|Drama",86861
1801,"2399,Santa Claus: The Movie (1985),Adventure|Children|Fantasy",86910
1802,"2400,Prancer (1989),Children|Drama|Fantasy",86973
1803,"2401,Pale Rider (1985),Western",87017
1804,"2402,Rambo: First Blood Part II (1985),Action|Adventure|Thriller",87049
1805,"2403,First Blood (Rambo: First Blood) (1982),Action|Adventure|Drama|Thriller",87115
1806,"2404,Rambo III (1988),Action|Adventure|Thriller|War",87193
1807,"2405,""Jewel of the Nile, The (1985)"",Action|Adventure|Comedy|Romance",87246
1808,"2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance",87316
1809,"2407,Cocoon (1985),Comedy|Sci-Fi",87381
1810,"2408,Cocoon: The Return (1988),Comedy|Sci-Fi",87415
1811,"2409,Rocky II (1979),Action|Drama",87461
1812,"2410,Rocky III (1982),Action|Drama",87496
1813,"2411,Rocky IV (1985),Action|Drama",87532
1814,"2412,Rocky V (1990),Action|Drama",87567
1815,"2413,Clue (1985),Comedy|Crime|Mystery|Thriller",87601
1816,"2414,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller",87649
1817,"2415,Violets Are Blue... (1986),Drama|Romance",87735
1818,"2416,Back to School (1986),Comedy",87782
1819,"2417,Heartburn (1986),Comedy|Drama",87817
1820,"2418,Nothing in Common (1986),Comedy",87853
1821,"2419,Extremities (1986),Drama|Thriller",87891
1822,"2420,""Karate Kid, The (1984)"",Drama",87931
1823,"2421,""Karate Kid, Part II, The (1986)"",Action|Adventure|Drama",87968
1824,"2422,""Karate Kid, Part III, The (1989)"",Action|Adventure|Children|Drama",88031
1825,"2423,Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy",88104
1826,"2424,You've Got Mail (1998),Comedy|Romance",88183
1827,"2425,""General, The (1998)"",Crime",88227
1828,"2427,""Thin Red Line, The (1998)"",Action|Drama|War",88261
1829,"2428,""Faculty, The (1998)"",Horror|Sci-Fi",88312
1830,"2429,Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller",88354
1831,"2430,Mighty Joe Young (1949),Adventure|Children|Drama",88424
1832,"2431,Patch Adams (1998),Comedy|Drama",88479
1833,"2432,Stepmom (1998),Drama",88517
1834,"2433,""Civil Action, A (1998)"",Drama",88544
1835,"2435,Hurlyburly (1998),Drama",88581
1836,"2436,Tea with Mussolini (1999),Comedy|Drama|War",88611
1837,"2439,Affliction (1997),Drama",88660
1838,"2442,Hilary and Jackie (1998),Drama",88690
1839,"2443,Playing by Heart (1998),Drama|Romance",88727
1840,"2445,At First Sight (1999),Drama",88771
1841,"2446,In Dreams (1999),Horror|Thriller",88805
1842,"2447,Varsity Blues (1999),Comedy|Drama",88844
1843,"2448,Virus (1999),Horror|Sci-Fi",88884
1844,"2450,Howard the Duck (1986),Adventure|Comedy|Sci-Fi",88917
1845,"2451,""Gate, The (1987)"",Horror",88970
1846,"2453,""Boy Who Could Fly, The (1986)"",Drama|Fantasy",89002
1847,"2454,""Fly, The (1958)"",Horror|Mystery|Sci-Fi",89054
1848,"2455,""Fly, The (1986)"",Drama|Horror|Sci-Fi|Thriller",89100
1849,"2456,""Fly II, The (1989)"",Horror|Sci-Fi",89153
1850,"2457,Running Scared (1986),Action|Comedy",89194
1851,"2458,Armed and Dangerous (1986),Comedy|Crime",89236
1852,"2459,""Texas Chainsaw Massacre, The (1974)"",Horror",89282
1853,"2460,""Texas Chainsaw Massacre 2, The (1986)"",Horror",89333
1854,"2462,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),Horror",89386
1855,"2463,Ruthless People (1986),Comedy",89502
1856,"2465,Deadly Friend (1986),Horror",89538
1857,"2467,""Name of the Rose, The (Name der Rose, Der) (1986)"",Crime|Drama|Mystery|Thriller",89572
1858,"2468,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller",89659
1859,"2469,Peggy Sue Got Married (1986),Comedy|Drama",89722
1860,"2470,Crocodile Dundee (1986),Adventure|Comedy",89770
1861,"2471,Crocodile Dundee II (1988),Action|Adventure|Comedy",89817
1862,"2472,Tough Guys (1986),Comedy",89874
1863,"2473,Soul Man (1986),Comedy",89905
1864,"2474,""Color of Money, The (1986)"",Drama",89934
1865,"2475,52 Pick-Up (1986),Action|Mystery|Thriller",89975
1866,"2476,Heartbreak Ridge (1986),Action|War",90023
1867,"2477,Firewalker (1986),Adventure",90064
1868,"2478,¡Three Amigos! (1986),Comedy|Western",90098
1869,"2481,My Name Is Joe (1998),Drama|Romance",90142
1870,"2482,Still Crazy (1998),Comedy|Romance",90184
1871,"2483,""Day of the Beast, The (Día de la Bestia, El) (1995)"",Adventure|Comedy|Thriller",90224
1872,"2485,She's All That (1999),Comedy|Romance",90311
1873,"2488,Peeping Tom (1960),Drama|Horror|Thriller",90354
1874,"2490,Payback (1999),Action|Thriller",90401
1875,"2491,Simply Irresistible (1999),Comedy|Romance",90438
1876,"2492,20 Dates (1998),Comedy|Romance",90486
1877,"2493,""Harmonists, The (1997)"",Drama",90523
1878,"2494,""Last Days, The (1998)"",Documentary",90560
1879,"2495,""Fantastic Planet, The (Planète sauvage, La) (1973)"",Animation|Sci-Fi",90602
1880,"2496,Blast from the Past (1999),Comedy|Romance",90679
1881,"2497,Message in a Bottle (1999),Romance",90727
1882,"2498,My Favorite Martian (1999),Comedy|Sci-Fi",90768
1883,"2500,Jawbreaker (1999),Comedy",90815
1884,"2501,October Sky (1999),Drama",90846
1885,"2502,Office Space (1999),Comedy|Crime",90877
1886,"2503,""Apple, The (Sib) (1998)"",Drama",90916
1887,"2504,200 Cigarettes (1999),Comedy|Drama",90954
1888,"2505,8MM (1999),Drama|Mystery|Thriller",90995
1889,"2506,""Other Sister, The (1999)"",Comedy|Drama|Romance",91035
1890,"2511,""Long Goodbye, The (1973)"",Crime|Film-Noir",91089
1891,"2512,""Ballad of Narayama, The (Narayama bushiko) (1983)"",Drama",91138
